gender,name/title,name/first,name/last,location/street/number,location/street/name,location/city,location/state,location/country,location/postcode,location/coordinates/latitude,location/coordinates/longitude,location/timezone/offset,location/timezone/description,email,login/uuid,login/username,login/password,login/salt,login/md5,login/sha1,login/sha256,dob/date,dob/age,registered/date,registered/age,phone,cell,id/name,id/value,picture/large,picture/medium,picture/thumbnail,nat
female,Ms,Sedef,Akyürek,3124,Necatibey Cd,Ardahan,Sinop,Turkey,56741,78.6125,10.8982,+4:30,Kabul,sedef.akyurek@example.com,e1ea48eb-8fe9-4549-992f-eaae3065e8fa,yellowwolf696,bigal,84JxqLgL,ffc703605db8575edc934a2f7c5234c3,4fe41928729647abf337336de4cf15051e03b3c6,7bd18839702f79038dad16a57eb91b6ea525cd3aed42a8f7f98d68f674d06553,1980-02-28T22:05:57.263Z,42,2018-06-09T03:17:44.834Z,4,(033)-959-6334,(317)-790-0668,,,https://randomuser.me/api/portraits/women/23.jpg,https://randomuser.me/api/portraits/med/women/23.jpg,https://randomuser.me/api/portraits/thumb/women/23.jpg,TR
female,Mrs,Madeleine,Jones,1049,Wairau Road,Christchurch,Hawke'S Bay,New Zealand,54823,-26.7240,-43.2897,+7:00,"Bangkok, Hanoi, Jakarta",madeleine.jones@example.com,762bbf10-b9dd-4a95-ac1f-1472da065a32,whiteelephant866,broken,iZOcAwPn,0639882fb353e6a448e1aee056ccc958,0f4fb3003edf23a8b03e71400657cb8ccc5f4e7b,a61a06e96c02fe7a9d57b76dc689ee7ec4eeda3e7c76a049429506978dcdde80,1990-07-27T08:50:50.403Z,32,2012-12-22T05:29:14.375Z,10,(565)-661-5450,(486)-667-8811,,,https://randomuser.me/api/portraits/women/44.jpg,https://randomuser.me/api/portraits/med/women/44.jpg,https://randomuser.me/api/portraits/thumb/women/44.jpg,NZ
female,Mrs,سارا,یاسمی,501,شهید شهرام امیری,دزفول,گلستان,Iran,15577,78.7084,-91.3790,+4:00,"Abu Dhabi, Muscat, Baku, Tbilisi",sr.ysmy@example.com,dd979a89-a287-4907-9aa9-ccd22ba7fa90,orangeduck128,catherin,grCJrBZE,e7860c14d919ff4f71d23634cd17e714,1944c3b2d4b2345c463d83e9c69a8b1176c82e17,3dbf3efb36fa536f552d6db4db65fa12ecbcb24d8cd3a7f6c58ffd0581333506,1965-11-04T19:09:26.095Z,57,2017-11-25T22:59:09.990Z,5,042-21984893,0932-498-5006,,,https://randomuser.me/api/portraits/women/61.jpg,https://randomuser.me/api/portraits/med/women/61.jpg,https://randomuser.me/api/portraits/thumb/women/61.jpg,IR
female,Ms,Kate,May,983,Albert Road,Newport,West Yorkshire,United Kingdom,DG66 6RU,-8.1700,-32.7090,+7:00,"Bangkok, Hanoi, Jakarta",kate.may@example.com,e0147947-d738-4306-aa74-42fd7df5547f,lazykoala327,collin,h3WQbEiq,5219f99bc569749b0d5cd8837694db8d,18d4aba3eb17a886ee2d54ba6641f690e9515c59,71801be45f75484ee52bc25009f9bccc4aec24228b3b0ebea5b1b564bd805c1c,1976-12-24T09:39:48.604Z,46,2012-12-12T21:32:57.543Z,10,016977 28058,0791-621-867,NINO,LP 38 49 10 E,https://randomuser.me/api/portraits/women/31.jpg,https://randomuser.me/api/portraits/med/women/31.jpg,https://randomuser.me/api/portraits/thumb/women/31.jpg,GB
male,Mr,Mick,Wienk,3245,Karkdiekie,Gees,Noord-Holland,Netherlands,93172,67.9263,3.8540,-3:30,Newfoundland,mick.wienk@example.com,1199d89f-d109-4f12-aca0-724387499585,bluemouse900,uranus,ZOLSCcsq,dba9eb290db811494f95eabf3f6cf571,c316678e773d0c8038abafe6193565cf300dbe19,23a3cc9c5fd0e9b16206b6cb332ec0ff379a2efcf13ec6e8aef0400019e8cb2d,1993-03-21T20:14:14.852Z,29,2002-08-22T23:00:36.219Z,20,(948)-214-3851,(616)-659-7426,BSN,21048084,https://randomuser.me/api/portraits/men/64.jpg,https://randomuser.me/api/portraits/med/men/64.jpg,https://randomuser.me/api/portraits/thumb/men/64.jpg,NL
female,Mrs,Hilda,Alexander,1886,Miller Ave,Mackay,South Australia,Australia,5833,-65.7378,-90.5244,+1:00,"Brussels, Copenhagen, Madrid, Paris",hilda.alexander@example.com,426d43d4-9d38-4122-b12c-9b51b5c57ac3,brownkoala234,chilli,iGxbM5qG,98b7c666ad3c0eeaa40e680d158f0127,f8432307cd959dfe3d4c10862e22c90ee026bb44,844220b3abac33a5cd78455124aedb23a03f613eb18c7086812da08828fbf94a,1958-07-30T18:50:10.441Z,64,2018-10-12T03:16:32.816Z,4,02-4507-7513,0475-937-325,TFN,485221320,https://randomuser.me/api/portraits/women/53.jpg,https://randomuser.me/api/portraits/med/women/53.jpg,https://randomuser.me/api/portraits/thumb/women/53.jpg,AU
female,Ms,Lucy,Oliversen,118,Sven Oftedals vei,Vikevåg,Sør-Trøndelag,Norway,3351,-31.0770,-104.7856,-7:00,Mountain Time (US & Canada),lucy.oliversen@example.com,8bf6d45b-28a6-4cf8-b1cc-e80046646179,angrygoose567,maggie,HIj12iPD,af5b2c8b0e883f055b17042cf4705112,7dc85c9908127b63753356251d09bf98a5ec23a7,e1bea151849b7d6c9f3e5ea801c9cbeef73f61eafceff9dcd018f4bbe3bbe91f,1964-02-17T01:23:04.367Z,58,2010-02-28T03:25:53.585Z,12,71219011,91195972,FN,17026438241,https://randomuser.me/api/portraits/women/75.jpg,https://randomuser.me/api/portraits/med/women/75.jpg,https://randomuser.me/api/portraits/thumb/women/75.jpg,NO
male,Mr,Koray,Tazegül,1221,Abanoz Sk,Rize,Sakarya,Turkey,70716,-78.0776,-67.6858,-10:00,Hawaii,koray.tazegul@example.com,9374a3d1-8ddb-4224-8d95-8efe92b20a59,beautifulelephant868,mortgage,vnh8depx,8bdae9e7848f2cbb619c2a76e3f100a3,ce6b1117e4bd8de7904534c569535551adc5da6e,c74ef6139a07d17a1c4fbde9fa58c52c8769c8f3ca906f3f5882e406efbe05ee,1967-03-25T14:56:37.526Z,55,2010-10-15T16:35:04.669Z,12,(446)-090-6011,(001)-070-3699,,,https://randomuser.me/api/portraits/men/64.jpg,https://randomuser.me/api/portraits/med/men/64.jpg,https://randomuser.me/api/portraits/thumb/men/64.jpg,TR
female,Miss,Mia,Green,5907,Main Street West,Dunedin,Canterbury,New Zealand,29869,-83.0112,-161.1496,+9:30,"Adelaide, Darwin",mia.green@example.com,59c032af-1a32-4d9b-acf3-4aad7d31ac76,redlion125,everest,8nQM5Nse,6fe1853fd8f7fd7a1d493aea023ad62a,26da8a26710d88159956c4f15ed81a2cff411b11,ed3b3836b33be5a156f5c0c113e8a1b0d0e494f6e502faff405a716860856ebb,1994-05-02T23:14:08.563Z,28,2014-09-08T08:02:27.153Z,8,(734)-550-8896,(192)-984-3905,,,https://randomuser.me/api/portraits/women/2.jpg,https://randomuser.me/api/portraits/med/women/2.jpg,https://randomuser.me/api/portraits/thumb/women/2.jpg,NZ
male,Monsieur,Adem,Renaud,6616,Rue Principale,Wiliberg,Ticino,Switzerland,4757,-43.5836,-128.3952,0:00,"Western Europe Time, London, Lisbon, Casablanca",adem.renaud@example.com,4aa99c54-f5b3-43d0-93d6-a796d7e312b2,purplegorilla614,molson,LEq5HhJm,1a71f33d7b6aac9a380afe4b863bf730,1f937eb6f29fe07be4c7dc9cb1c545c2a0e7e258,83a2f162415eb742cdc2dc44be465b7120560c594cac5d21999438fa50d19511,1985-03-15T02:13:04.723Z,37,2011-03-25T07:26:18.181Z,11,077 787 11 05,075 029 43 27,AVS,756.1403.6103.22,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,CH
male,Mr,Samuel,Mackay,5714,Concession Road 23,Campbellton,Nunavut,Canada,J2D 3X4,22.1328,167.3103,-9:00,Alaska,samuel.mackay@example.com,45e4aeda-9b70-444e-baee-0af6d3265d81,orangerabbit828,8888,8wgN2axH,9281cc1479125a49f919ea769f10e875,3de393c2e6c02fb2e8ca90efe261199f0fccee66,8014faf4e7852265cdd34e36492d3cb9865a9f097607839b581ba483352c998b,1961-05-03T18:00:53.201Z,61,2014-03-12T23:03:56.993Z,8,089-320-8614,890-452-3023,,,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,CA
female,Ms,Clara,Sørensen,3605,Harevænget,Stenderup,Danmark,Denmark,49909,30.7730,-142.1495,-8:00,Pacific Time (US & Canada),clara.sorensen@example.com,b98ec739-4216-4e0d-b0a6-057388872850,organicbear591,reality,jwiyEpEa,d9662b24276716b87ecb41ab1625ca8d,00f852885e7ceaccdfd998dfd271518784447bbd,f58cf9a5c6d0f90d73a34c47347c0e9155bd80270263d11f6232efbed39996cf,1967-08-03T23:49:42.063Z,55,2006-02-14T18:04:04.347Z,16,92784411,98501518,CPR,030867-8658,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg,DK
